Date,Open,High,Low,Close,Adj Close,Volume,,,,
25/07/2013,174200,176150,173402,175441,175441,340,,,,
26/07/2013,175130,175926,173487,175926,175926,248,,,,
29/07/2013,175600,176752,173980,174505,174505,3,,,,
30/07/2013,175450,175620,173491,173566,173566,3,,,,
31/07/2013,174300,175259,173897,173900,173900,4,,,,
01/08/2013,175600,177604,175000,175700,175700,9,,,,
02/08/2013,176200,176665,175211,176500,176500,6,,,,
05/08/2013,178520,178547,176797,177300,177300,4,,,,
06/08/2013,176900,177539,175943,176855,176855,4,,,,
07/08/2013,176400,176400,174811,175200,175200,3,,,,
08/08/2013,176277,176778,175033,176551,176551,3,,,,
09/08/2013,176200,176500,174865,175100,175100,2,,,,
12/08/2013,174500,175960,174192,175748,175748,3,,,,
13/08/2013,176000,176447,174777,175725,175725,3,,,,
14/08/2013,175800,175831,174755,174755,174755,3,,,,
15/08/2013,174010,174296,171998,172799,172799,6,,,,
16/08/2013,172050,173500,171550,173122,173122,3,,,,
19/08/2013,172620,173153,171500,171501,171501,2,,,,
20/08/2013,171575,173000,171357,173000,173000,3,,,,
21/08/2013,172533,172657,170440,170800,170800,3,,,,
22/08/2013,171550,173000,171180,172206,172206,5,,,,
23/08/2013,172699,172699,171161,171320,171320,3,,,,
26/08/2013,171840,172360,170800,171000,171000,5,,,,
27/08/2013,170000,170200,167000,167350,167350,6,,,,
28/08/2013,167000,169323,166885,168585,168585,3,,,,
29/08/2013,168220,170454,167834,168050,168050,2,,,,
30/08/2013,168226,168226,166367,167050,167050,3,,,,
03/09/2013,168333,169299,167300,167993,167993,5,,,,
04/09/2013,168100,168677,167200,168259,168259,3,,,,
05/09/2013,168198,168948,168000,168240,168240,3,,,,
06/09/2013,168400,168764,166168,167565,167565,3,,,,
09/09/2013,168000,169000,167265,168880,168880,5,,,,
10/09/2013,169846,170684,169320,170489,170489,5,,,,
11/09/2013,170500,171361,170108,171340,171340,5,,,,
12/09/2013,170650,171086,169660,170000,170000,4,,,,
13/09/2013,170000,170456,169508,170155,170155,2,,,,
16/09/2013,171450,172600,171344,172500,172500,5,,,,
17/09/2013,172660,173863,172601,173299,173299,3,,,,
18/09/2013,173224,175526,172630,175005,175005,9,,,,
19/09/2013,175700,176600,174980,175825,175825,10,,,,
20/09/2013,176200,176783,175000,175000,175000,8,,,,
23/09/2013,175150,175300,172800,173539,173539,4,,,,
24/09/2013,173849,173849,172316,172500,172500,3,,,,
25/09/2013,172550,173990,172435,173368,173368,3,,,,
